id,entry_time,side,entry_token_price,size,value_usdc,take_profit_usd,stop_loss_usd,take_profit_pct,stop_loss_pct,exit_time,exit_token_price,pnl_usd,pnl_pct,exit_reason,status
60,2026-02-24 00:48:44,SHORT,0.68,6.0,4.08,1.0,1.0,0.2451,0.2451,2026-02-24 00:51:10,0.88,1.1999999999999997,29.411764705882348,AUTO_CLOSED_OR_MANUAL,closed
59,2026-02-24 00:44:00,SHORT,0.64,6.0,3.84,1.0,1.0,0.2604,0.2604,2026-02-24 00:45:34,0.99,2.0999999999999996,54.687499999999986,AUTO_CLOSED_OR_MANUAL,closed
58,2026-02-24 00:42:11,SHORT,0.64,6.0,3.84,1.0,1.0,0.2604,0.2604,2026-02-24 00:45:30,0.99,2.0999999999999996,54.687499999999986,AUTO_CLOSED_OR_MANUAL,closed
57,2026-02-24 00:39:54,SHORT,0.76,6.0,4.5600000000000005,1.0,1.0,0.2193,0.2193,2026-02-24 00:45:25,0.99,1.38,30.263157894736835,AUTO_CLOSED_OR_MANUAL,closed
56,2026-02-24 00:38:40,SHORT,0.76,6.0,4.5600000000000005,1.0,1.0,0.2193,0.2193,2026-02-24 00:45:20,0.99,1.38,30.263157894736835,AUTO_CLOSED_OR_MANUAL,closed
55,2026-02-24 00:37:00,LONG,0.62,6.0,3.7199999999999998,1.0,1.0,0.2688,0.2688,2026-02-24 00:37:12,0.41,-1.2600000000000002,-33.870967741935495,SIGNAL_CHANGE,closed
54,2026-02-24 00:35:57,LONG,0.62,6.0,3.7199999999999998,1.0,1.0,0.2688,0.2688,2026-02-24 00:36:40,0.27,-2.0999999999999996,-56.4516129032258,AUTO_CLOSED_OR_MANUAL,closed
53,2026-02-24 00:35:31,LONG,0.62,6.0,3.7199999999999998,1.0,1.0,0.2688,0.2688,2026-02-24 00:36:34,0.25,-2.2199999999999998,-59.67741935483871,STOP_LOSS_LOCAL,closed
52,2026-02-24 00:31:51,SHORT,0.5,6.0,3.0,1.0,1.0,0.3333,0.3333,2026-02-24 00:33:53,0.595,0.5699999999999998,18.999999999999993,SIGNAL_CHANGE,closed
51,2026-02-23 23:57:02,SHORT,0.48,6.0,2.88,1.0,1.0,0.3472,0.3472,2026-02-24 00:21:03,0.967,2.9219999999999997,,MARKET_SETTLED,closed
50,2026-02-23 23:55:34,SHORT,0.48,6.0,2.88,1.0,1.0,0.3472,0.3472,2026-02-24 00:16:40,0.48,0.0,0.0,STALE_CLEANUP,closed
49,2026-02-23 23:38:49,SHORT,0.54,6.0,3.24,1.0,1.0,0.3086,0.3086,2026-02-24 00:05:40,0.54,0.0,0.0,STALE_CLEANUP,closed
48,2026-02-23 23:38:29,SHORT,0.54,6.0,3.24,1.0,1.0,0.3086,0.3086,2026-02-23 23:39:19,0.32,-1.3200000000000003,-40.74074074074075,SIGNAL_CHANGE,closed
47,2026-02-23 23:37:38,SHORT,0.54,6.0,3.24,1.0,1.0,0.3086,0.3086,2026-02-23 23:39:12,0.27,-1.62,-50.0,SIGNAL_CHANGE,closed
46,2026-02-23 23:37:01,SHORT,0.54,6.0,3.24,1.0,1.0,0.3086,0.3086,2026-02-23 23:37:56,0.24,-1.8000000000000003,-55.55555555555556,STOP_LOSS_LOCAL,closed
45,2026-02-23 23:09:09,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-23 23:31:46,,,,MANUAL_CLEANUP,closed
